nationality,Non-Premature (â‰¥70),Premature (<70),Premature %
-,0.0,2.0,100.0
Azerbaijan,0.0,1.0,100.0
Angola,0.0,1.0,100.0
Belarus,0.0,1.0,100.0
Guinea-Bissau,0.0,1.0,100.0
Gambia,0.0,2.0,100.0
Denmark,0.0,2.0,100.0
Colombia,0.0,1.0,100.0
Cote d'Ivoire,0.0,7.0,100.0
Cambodia,0.0,1.0,100.0
Burundi,0.0,6.0,100.0
Madagascar,0.0,2.0,100.0
New Zealand,0.0,3.0,100.0
South Sudan,0.0,2.0,100.0
Tajikistan,0.0,3.0,100.0
Uzbekistan,0.0,14.0,100.0
Viet Nam,0.0,2.0,100.0
Zimbabwe,0.0,1.0,100.0
Finland,0.0,1.0,100.0
France,0.0,9.0,100.0
Malta,0.0,1.0,100.0
Mexico,0.0,2.0,100.0
Mozambique,0.0,1.0,100.0
Nepal,0.0,773.0,100.0
Kyrgyzstan,0.0,1.0,100.0
Liberia,0.0,1.0,100.0
Kuwait - without,0.0,3.0,100.0
Sierra Leone,0.0,4.0,100.0
Singapore,0.0,2.0,100.0
Portugal,0.0,1.0,100.0
Rwanda,0.0,1.0,100.0
Restriction J 2,0.0,4.0,100.0
Resident / members of the tribes,0.0,1.0,100.0
Palestinian Jordan,0.0,1.0,100.0
Uganda,0.0,137.0,100.0
India,162.0,6021.0,97.37991266375546
Philippines,61.0,1981.0,97.01273261508325
Bangladesh,282.0,8679.0,96.85302979578172
Sri Lanka,12.0,324.0,96.42857142857143
Kenya,7.0,180.0,96.2566844919786
Restriction S 1,1.0,14.0,93.33333333333333
Ghana,6.0,62.0,91.17647058823529
Egypt,517.0,5293.0,91.10154905335628
Pakistan,826.0,8244.0,90.89305402425579
Indonesia,97.0,884.0,90.11213047910296
Russian Federation,1.0,8.0,88.88888888888889
Senegal,2.0,13.0,86.66666666666667
South Africa,4.0,22.0,84.61538461538461
Myanmar / resident,314.0,1605.0,83.637311099531
Benin,1.0,5.0,83.33333333333334
Restriction D 1,3.0,13.0,81.25
Sudan,925.0,3975.0,81.12244897959184
Ethiopia,88.0,355.0,80.1354401805869
Netherlands,1.0,4.0,80.0
Libya,1.0,4.0,80.0
Morocco,39.0,154.0,79.79274611398964
Guinea,6.0,23.0,79.3103448275862
Turkey,32.0,122.0,79.22077922077922
Niger,114.0,353.0,75.58886509635975
Displaced tribes,24.0,73.0,75.25773195876289
Myanmar,57.0,172.0,75.10917030567686
Nigeria,228.0,686.0,75.054704595186
"Korea, Republic of",1.0,3.0,75.0
Oman,4.0,12.0,75.0
China,14.0,40.0,74.07407407407408
Resident / displaced,18.0,48.0,72.72727272727273
Myanmar / Pakistan passport,221.0,580.0,72.40948813982521
Displaced tribes / Kuwait,36.0,93.0,72.09302325581395
Australia,2.0,5.0,71.42857142857143
Kuwait,11.0,27.0,71.05263157894737
United Kingdom,19.0,46.0,70.76923076923077
Algeria,27.0,65.0,70.65217391304348
Afghanistan,337.0,806.0,70.5161854768154
Tunisia,31.0,74.0,70.47619047619048
Syrian Arab Republic,797.0,1902.0,70.47054464616525
United States,22.0,52.0,70.27027027027027
Mali,191.0,411.0,68.27242524916943
Balushi Resident,28.0,57.0,67.05882352941175
"Congo, the Democratic Republic of the",1.0,2.0,66.66666666666666
Ireland,1.0,2.0,66.66666666666666
"Tanzania, United Republic of",3.0,6.0,66.66666666666666
Somalia,168.0,334.0,66.53386454183267
Restriction J 1,98.0,192.0,66.20689655172414
Jordan,349.0,679.0,66.05058365758755
Lebanon,83.0,157.0,65.41666666666667
Yemen,4092.0,7710.0,65.32791052364007
Iraq,42.0,77.0,64.70588235294117
Bahrain,10.0,18.0,64.28571428571429
Restriction L 1,4.0,7.0,63.63636363636363
Displaced tribes / allied,44.0,75.0,63.02521008403361
Germany,3.0,5.0,62.5
Chad,282.0,460.0,61.99460916442049
Spain,2.0,3.0,60.0
Qatar,2.0,3.0,60.0
Other tribesmen,14.0,21.0,60.0
Burkina Faso,29.0,40.0,57.971014492753625
Canada,15.0,20.0,57.14285714285714
Restriction E 1,3.0,4.0,57.14285714285714
Thailand,49.0,64.0,56.63716814159292
nan,21.0,27.0,56.25
Eritrea,332.0,400.0,54.644808743169406
Saudi Arabia,87672.0,105254.0,54.55666939655619
Malaysia,15.0,18.0,54.54545454545454
Mauritania,173.0,191.0,52.472527472527474
Cameroon,10.0,11.0,52.38095238095239
"Palestinian, State of",286.0,310.0,52.013422818791945
Restriction N 1,41.0,44.0,51.76470588235295
Palestinian with Egyptian document,547.0,579.0,51.42095914742452
Switzerland,1.0,1.0,50.0
Belgium,1.0,1.0,50.0
Dominica,1.0,1.0,50.0
Greece,1.0,1.0,50.0
Djibouti,13.0,13.0,50.0
"Iran, Islamic Republic of",1.0,1.0,50.0
Mauritius,1.0,1.0,50.0
Turkistan,2.0,2.0,50.0
Turkistani Resident,22.0,18.0,45.0
Restriction J3,5.0,4.0,44.44444444444444
Palestinian with Lebanese document,35.0,28.0,44.44444444444444
Palestinian with Syrian document,30.0,22.0,42.30769230769231
"Taiwan, China",13.0,9.0,40.909090909090914
South Yemen,162.0,97.0,37.45173745173745
Foreigner with a Saudi passport,7.0,4.0,36.36363636363637
Austria,2.0,1.0,33.33333333333333
Sweden,2.0,1.0,33.33333333333333
Romania,2.0,1.0,33.33333333333333
South Yemeni - Sultans,2.0,1.0,33.33333333333333
Italy,4.0,2.0,33.33333333333333
United Arab Emirates,4.0,2.0,33.33333333333333
Yemen - Lahij,3.0,1.0,25.0
Restriction SH 1,3.0,1.0,25.0
resident,9.0,1.0,10.0
Luxembourg,1.0,0.0,0.0
Cuba,1.0,0.0,0.0
Comoros,1.0,0.0,0.0
"Macedonia, the Former Yugoslav Republic of",1.0,0.0,0.0
Restriction F 1,1.0,0.0,0.0
Resident / unknown,1.0,0.0,0.0
Resident / without document,1.0,0.0,0.0
